scan_index,header_stamp,start_stamp,end_stamp,duration_s,packet_count,translation_m,speed_mps,rotation_rad,rotation_deg,angular_rate_radps,angular_rate_degps
7,1517157219.794140100479,1517157219.794140100479,1517157219.893672943115,0.099532842636,76,0.038094354556,0.382731503967,0.100801842385,5.775520135807,1.012749557989,58.026275376482
8,1517157219.894999980927,1517157219.894999980927,1517157219.994533061981,0.099533081055,76,0.038094445806,0.382731503967,0.100802083843,5.775533970349,1.012749557989,58.026275376482
9,1517157219.995860099792,1517157219.995860099792,1517157220.095331907272,0.099471807480,76,0.034828789108,0.350137290053,0.095059669546,5.446517866881,0.955644337367,54.754387246699
10,1517157220.096658945084,1517157220.096658945084,1517157220.196192026138,0.099533081055,76,0.034850386380,0.350138727851,0.095118671092,5.449898406446,0.955648816291,54.754643870132
11,1517157220.197519063950,1517157220.197519063950,1517157220.297051906586,0.099532842636,76,0.009254191625,0.092976261703,0.013616848048,0.780187923440,0.136807587201,7.838497351998
12,1517157220.298378944397,1517157220.298378944397,1517157220.397912025452,0.099533081055,76,0.009254213792,0.092976261703,0.013616880666,0.780189792283,0.136807587201,7.838497351998
13,1517157220.399239063263,1517157220.399239063263,1517157220.498771905899,0.099532842636,76,0.010162118641,0.102098145417,0.025996509823,1.489490294917,0.261185244330,14.964812171223
14,1517157220.500098943710,1517157220.500098943710,1517157220.599632024765,0.099533081055,76,0.010162142983,0.102098145417,0.025996572094,1.489493862807,0.261185244330,14.964812171223
15,1517157220.600959062576,1517157220.600959062576,1517157220.700491905212,0.099532842636,76,0.015397035279,0.154693012590,0.012788479483,0.732725900747,0.128485022069,7.361649495194
16,1517157220.701818943024,1517157220.701818943024,1517157220.801352024078,0.099533081055,76,0.015397072161,0.154693012590,0.012788510116,0.732727655901,0.128485022069,7.361649495194
17,1517157220.802679061890,1517157220.802679061890,1517157220.902211904526,0.099532842636,76,0.004218665175,0.042384654789,0.005921439458,0.339273489567,0.059492317318,3.408658695773
